"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3213.85554424281,875.932668551976,"MSY Curve",0.00133236726396727,4.86985989088533e-05
"2","Atlantic sharpnose shark",20967.085777105,368.691435220775,"MSY Curve",0.000560810683777028,0.000317708025917924
"3","Baleen whales",8210.80319771172,544.019887917266,"MSY Curve",0.000827500007285206,0.000124415863171317
"4","Benthic coastal invertebrate feeders",29570.9001060061,445.688858586265,"MSY Curve",0.00067793024100464,0.000448079070080122
"5","Benthic piscivores",1825.06734131117,157.939910230223,"MSY Curve",0.000240239887858678,2.76547035834804e-05
"6","Blacktip shark",9342.50706112019,530.217061148143,"MSY Curve",0.000806504746807261,0.000141564235824984
"7","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.0460058065775331,2.25595552402334e-05
"8","Butterfish",4049.13219920655,216.408408492584,"MSY Curve",0.000329175391528016,6.13552980784457e-05
"9","Coastal dolphins",12604.5732567388,134.100816452902,"MSY Curve",0.000203978621106227,0.000190993356421002
"10","Coastal omnivores",249710.86446072,44832.7238522754,"MSY Curve",0.0681943438803392,0.0037837945931763
"11","Cobia",3365.1798312336,581.349942537699,"MSY Curve",0.000884282160210953,5.09915709033581e-05
"12","Crab",50873.4265057073,31079.5092288017,"MSY Curve",0.0472745476488265,0.000770869928164168
"13","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.000894243329511582,3.78003982587728e-05
"14","Demersal coastal invertebrate feeders",360037.129015201,28962.3026123385,"MSY Curve",0.0440540983059634,0.00545553572549796
"15","Dusky shark",1299.97564583628,168.384996269179,"MSY Curve",0.000256127742264922,1.96981450150318e-05
"16","Gag Grouper",2172.53058507062,437.065194375394,"MSY Curve",0.000664812922399542,3.29197109587254e-05
"17","Goliath grouper",109.847143507674,30.8098943556028,"MSY Curve",4.68644407492599e-05,1.66448115334437e-06
"18","Gray triggerfish",2095.0841759161,259.346958264107,"MSY Curve",0.000394488537311677,3.17461885136662e-05
"19","King Mackerel",10991.8972362446,1137.74183529857,"MSY Curve",0.0017306010274783,0.000166556955465566
"20","Large coastal sharks",8896.50356117696,258.792784249334,"MSY Curve",0.000393645592023377,0.000134806077203142
"21","Menhaden",1345681.21329007,339967.186649468,"MSY Curve",0.517118685690309,0.0203907079092541
"22","Mullet",5482.28087244473,1992.55126522208,"MSY Curve",0.00303083806880636,8.30713744403112e-05
"23","Mutton snapper",1445.17059546592,549.24079377785,"MSY Curve",0.000835441444231949,2.18982409802258e-05
"24","Other snapper",630.202702674228,211.854152552617,"MSY Curve",0.000322247985182764,9.54927445441179e-06
"25","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.103705248684379,0.000177757171765895
"26","Red Grouper",2374.95051576993,1092.26442365475,"MSY Curve",0.00166142605924204,3.59869200726952e-05
"27","Red Snapper",27447.372704284,5392.77227079317,"MSY Curve",0.00820286021243302,0.00041590188981025
"28","Red drum",9526.27940416566,975.689538670046,"MSY Curve",0.0014841058540131,0.000144348883579468
"29","Reef piscivores",10735.1439587297,353.258390746749,"MSY Curve",0.000537335725051566,0.000162666449278182
"30","Sandbar shark",1027.52425304124,85.9118257106591,"MSY Curve",0.000130679112989096,1.55697699473807e-05
"31","Seagrass",564401.234003148,26274.9080545535,"MSY Curve",0.0399663451455799,0.00855220433526262
"32","Skates-rays",15882.4065791511,1010.27595351249,"MSY Curve",0.00153671470006772,0.000240661391608265
"33","Small coastal sharks",340.75223701248,17.8432723590727,"MSY Curve",2.71411180639963e-05,5.16331748242123e-06
"34","Surface pelagics",1323.58196147131,9.74977180401897,"MSY Curve",1.48302229717046e-05,2.00558445074329e-05
"35","Tilefish",111.552161719462,39.4470875052843,"MSY Curve",6.00023380082148e-05,1.69031678810925e-06
"36","Vermilion snapper",7957.07097480747,999.34432432782,"MSY Curve",0.00152008677261348,0.000120571134127537
"37","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.0678390126802949,0.000349471345206347
"38","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.000370569481877902,2.22948600262141e-05
"39","Algae",12920223.4,0,"Average",0,0.195776309329305
"40","Anchovy-silverside-killifish",10841.0007,0.0288332655055556,"Average",4.38578220131762e-08,0.000164270465051124
"41","Cephalopod",1589692.71,347.540474722222,"Average",0.000528638293841712,0.0240881416749729
"42","Detritus",22309779.3,0,"Average",0,0.33805346224163
"43","Infauna",7615190.3,0,"Average",0,0.115390717762227
"44","Inshore coastal piscivores",2163.06437,473.726762029482,"Average",0.000720578250422732,3.27762722121599e-05
"45","Mobile epifauna",1427495.13,7898.45546944444,"Average",0.0120142151117482,0.0216304098996428
"46","Phytoplankton",10393066.2,0,"Average",0,0.157483046558711
"47","Reef invertebrate feeders",434.60357,70.4688696721332,"Average",0.000107189077940361,6.58541886790751e-06
"48","Reef omnivores",987.09208,5.32135094981824,"Average",8.09422237594998e-06,1.49571132330875e-05
"49","Sardine-herring-scad",43470.804,72.3280141341767,"Average",0.000110016993040626,0.000658700187080169
"50","Sea trout",23757.315,10256.3318625262,"Average",0.0156007434276936,0.000359987540948691
"51","Sessile epifauna",1496144.32,3739.99792777778,"Average",0.00568885142109626,0.0226706306946366
"52","Shallow-water grouper",3668.2269,707.222003599101,"Average",0.00107574415224231,5.5583553165534e-05
"53","Spanish Mackerel",28.03745772,6.53802616571155,"Average",9.94488771443583e-06,4.24843272864618e-07
"54","Zooplankton",5343931.9,0,"Average",0,0.080975013534916
