"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3229.18216617024,901.458033417826,"MSY Curve",0.0013459300424787,0.00046211759207522
"2","Atlantic sharpnose shark",5293.04769267307,1627.07564795965,"MSY Curve",0.00242931996254046,0.000757470569515224
"3","Benthic coastal invertebrate feeders",50213.1660166145,1291.13935555568,"MSY Curve",0.00192774725305876,0.00718584030754487
"4","Benthic piscivores",1962.51798682242,180.181777619999,"MSY Curve",0.00026902202722239,0.00028084946584177
"5","Billfish",2467.9908378986,792.412794707104,"MSY Curve",0.00118311906589495,0.000353186015710604
"6","Blacktip shark",9371.6125018838,541.263383161598,"MSY Curve",0.000808138173142433,0.00134114050566829
"7","Bluefin tuna",449.31239953371,10.3306503605813,"MSY Curve",1.54242706406778e-05,6.42996131767659e-05
"8","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.0451581761531687,0.000213059240987232
"9","Butterfish",4050.13991796786,252.774392100584,"MSY Curve",0.000377407084617743,0.000579602143869998
"10","Coastal omnivores",258199.399454209,47828.0007510816,"MSY Curve",0.0714100276398972,0.0369500630844116
"11","Cobia",3023.29813231888,739.15984102261,"MSY Curve",0.00110360926337764,0.000432654208136443
"12","Crab",50873.4265057073,31079.5092288017,"MSY Curve",0.0464035414027415,0.00728032800494344
"13","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.000877767412463992,0.000356998357293231
"14","Demersal coastal invertebrate feeders",389322.786816622,33933.9570679626,"MSY Curve",0.0506654004788083,0.0557146978787776
"15","Dusky shark",1314.67713168828,172.015220884842,"MSY Curve",0.00025682887607615,0.000188139101230288
"16","Gag Grouper",2191.24640308486,441.643596702541,"MSY Curve",0.000659399953003448,0.000313582033880115
"17","Goliath grouper",109.847021629516,30.8101059631138,"MSY Curve",4.60013064285227e-05,1.57198443816101e-05
"18","Gray triggerfish",2791.66523633664,1080.11052856408,"MSY Curve",0.0016126687607188,0.000399505989600456
"19","King Mackerel",10842.6744768327,1154.80807719487,"MSY Curve",0.00172419660902086,0.00155165932519436
"20","Large coastal sharks",11385.6177898303,416.583241653396,"MSY Curve",0.000621983364004908,0.00162935814908368
"21","Large oceanic sharks",3048.10777886878,143.016463818878,"MSY Curve",0.000213532020445899,0.000436204634694594
"22","Menhaden",1345662.61778461,340001.42047632,"MSY Curve",0.507642185592908,0.192573331783809
"23","Mullet",5482.25176588048,1993.02763759855,"MSY Curve",0.0029757078793383,0.000784546939389125
"24","Mutton snapper",1429.31328295142,554.684498926484,"MSY Curve",0.000828176691012263,0.000204544302132695
"25","Oceanic piscivores",10193.9460162061,52.9087739383066,"MSY Curve",7.89959218448433e-05,0.00145882193829308
"26","Other snapper",656.045212986401,224.405413167848,"MSY Curve",0.000335050524906087,9.38844631603132e-05
"27","Other tunas",71084.0016073079,14126.084903117,"MSY Curve",0.0210910783962114,0.0101725966413344
"28","Pelagic coastal piscivores",5743.64025360436,1260.51913876097,"MSY Curve",0.00188202946236478,0.000821953382360537
"29","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.101794539352439,0.00167879232073402
"30","Red Grouper",2336.5054276674,1169.28856872213,"MSY Curve",0.00174581683742186,0.000334369573019442
"31","Red Snapper",26841.2983440414,5770.27171713249,"MSY Curve",0.00861535620011945,0.00384116953477164
"32","Red drum",9533.09163537309,996.801618197359,"MSY Curve",0.00148828364115466,0.00136424925100952
"33","Reef piscivores",10878.4767937793,360.103261846787,"MSY Curve",0.000537655421047778,0.00155678287649828
"34","Sandbar shark",839.496740206211,129.691467143536,"MSY Curve",0.000193637014049125,0.000120137605181683
"35","Skates-rays",15928.2772755484,1016.76773151454,"MSY Curve",0.00151809422661613,0.00227944314123739
"36","Small coastal sharks",343.100531733764,51.0986232213228,"MSY Curve",7.62932600002695e-05,4.90999836508375e-05
"37","Spanish Mackerel",87.628529376717,26.6753364138513,"MSY Curve",3.98278514824519e-05,1.25402293549414e-05
"38","Surface pelagics",1323.58196147131,9.74977180401897,"MSY Curve",1.45569846758008e-05,0.000189413442003096
"39","Swordfish",14018.1602275437,3519.43166251173,"MSY Curve",0.00525471916764175,0.00200609260064135
"40","Tilefish",112.55178668787,40.9814526498222,"MSY Curve",6.11877272829717e-05,1.61069143738175e-05
"41","Vermilion snapper",9460.01843339101,5708.72025295304,"MSY Curve",0.00852345623170541,0.00135379198647395
"42","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.0665891180390663,0.00330051274342769
"43","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.000363741953125607,0.000210559379585208
"44","Yellowfin tuna",6796.06655643561,1507.33355989103,"MSY Curve",0.00225053795860219,0.000972562633828625
"45","Anchovy-silverside-killifish",10841.0007,0.0288332655055556,"Average",4.30497669642538e-08,0.00155141979652122
"46","Cephalopod",1589692.71,347.540474722222,"Average",0.000518898438491298,0.227495672118115
"47","Inshore coastal piscivores",2163.06437,483.1547625,"Average",0.000721378573276298,0.000309548996225754
"48","Mobile epifauna",1427495.13,7898.45546944444,"Average",0.011792860134819,0.204284112270155
"49","Reef invertebrate feeders",434.60357,78.6954641944444,"Average",0.000117496972171322,6.21946811733712e-05
"50","Reef omnivores",987.09208,5.77280648055556,"Average",8.61914075149644e-06,0.000141259486672785
"51","Sardine-herring-scad",43470.804,72.4088837777778,"Average",0.00010811073661339,0.00622096315299506
"52","Sea trout",23757.315,11373.621775,"Average",0.0169814885122523,0.00339983086646147
"53","Sessile epifauna",1496144.32,3739.99792777778,"Average",0.00558403761816721,0.21410827106586
"54","Shallow-water grouper",3668.2269,775.44113,"Average",0.00115777936892252,0.000524947833532716
