"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3213.85554424281,875.932668551976,"MSY Curve",0.00175715093656619,0.00217126567574031
"2","Benthic piscivores",1825.06734131117,157.939910230223,"MSY Curve",0.000316832869860875,0.00123300690387352
"3","Blacktip shark",9342.50706112019,530.217061148143,"MSY Curve",0.00106363358626639,0.00631175378853282
"4","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.0606733205636466,0.00100583567187969
"5","Cobia",3365.1798312336,581.349942537699,"MSY Curve",0.00116620789779598,0.00227349965163806
"6","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.0011793448746936,0.00168536075179908
"7","Dusky shark",1299.97564583628,168.384996269179,"MSY Curve",0.000337786070232093,0.00087825742639832
"8","Gag Grouper",2172.53058507062,437.065194375394,"MSY Curve",0.000876767750775625,0.00146775143559578
"9","Goliath grouper",109.847143507674,30.8098943556028,"MSY Curve",6.1805703413196e-05,7.42122130235713e-05
"10","Gray triggerfish",2095.0841759161,259.346958264107,"MSY Curve",0.000520258881727422,0.00141542900616743
"11","King Mackerel",10991.8972362446,1137.74183529857,"MSY Curve",0.00228234909284787,0.00742607402597048
"12","Large coastal sharks",8896.50356117696,258.792784249334,"MSY Curve",0.000519147189671584,0.00601043592363328
"13","Menhaden",1345681.21329007,339967.186649468,"MSY Curve",0.681985821365033,0.909135892600825
"14","Mutton snapper",1445.17059546592,549.24079377785,"MSY Curve",0.00110179584554431,0.000976350450830118
"15","Other snapper",630.202702674228,211.854152552617,"MSY Curve",0.000424986686692093,0.00042576197910529
"16","Pelagic coastal piscivores",5508.25537516328,1144.33315467532,"MSY Curve",0.00229557150529108,0.00372135140010528
"17","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.136768426980102,0.00792544455733399
"18","Red Grouper",2374.95051576993,1092.26442365475,"MSY Curve",0.00219111984734588,0.00160450538783874
"19","Red Snapper",27447.372704284,5392.77227079317,"MSY Curve",0.0108180858946353,0.0185433157843142
"20","Small coastal sharks",340.75223701248,17.8432723590727,"MSY Curve",3.57942155405404e-05,0.00023021060715759
"21","Tilefish",111.552161719462,39.4470875052843,"MSY Curve",7.91322087225083e-05,7.53641153006972e-05
"22","Vermilion snapper",7957.07097480747,999.34432432782,"MSY Curve",0.00200471894529019,0.00537575969087292
"23","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.0894673622586345,0.0155814572390785
"24","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.000488713982814124,0.000994034025721282
"25","Reef invertebrate feeders",434.60357,70.4688696721332,"Average",0.000141362966342889,0.000293616125897633
"26","Reef omnivores",987.09208,5.32135094981824,"Average",1.06748122783546e-05,0.000666874762289311
"27","Shallow-water grouper",3668.2269,707.222003599101,"Average",0.00141871156379943,0.00247823682463419
"28","Spanish Mackerel",28.03745772,6.53802616571155,"Average",1.31155044363922e-05,1.89419744429736e-05
