"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3229.18216617024,901.458033417826,"MSY Curve",0.0013348864914571,4.88963314182379e-05
"2","Atlantic sharpnose shark",5293.04769267307,1627.07564795965,"MSY Curve",0.00240938704024333,8.0147418409791e-05
"3","Baleen whales",8210.80319771172,544.019887917266,"MSY Curve",0.000805589137312806,0.000124328122015298
"4","Benthic coastal invertebrate feeders",50213.1660166145,1291.13935555568,"MSY Curve",0.00191192980752,0.000760328615966333
"5","Benthic piscivores",1962.51798682242,180.181777619999,"MSY Curve",0.00026681466250818,2.97164808177201e-05
"6","Blacktip shark",9371.6125018838,541.263383161598,"MSY Curve",0.000801507282333904,0.000141905116291062
"7","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.0447876467744863,2.25436456817125e-05
"8","Butterfish",4050.13991796786,252.774392100584,"MSY Curve",0.000374310404802787,6.13272876934224e-05
"9","Coastal dolphins",12604.5732567388,134.100816452902,"MSY Curve",0.000198577595118481,0.00019085866316359
"10","Coastal omnivores",258199.399454209,47828.0007510816,"MSY Curve",0.070824098015916,0.00390965970887795
"11","Cobia",3023.29813231888,739.15984102261,"MSY Curve",0.00109455398946046,4.57788318673038e-05
"12","Crab",50873.4265057073,31079.5092288017,"MSY Curve",0.046022793621735,0.000770326291549726
"13","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.000870565203657667,3.77737404793171e-05
"14","Demersal coastal invertebrate feeders",389322.786816622,33933.9570679626,"MSY Curve",0.0502496835265463,0.00589513227599496
"15","Dusky shark",1314.67713168828,172.015220884842,"MSY Curve",0.000254721557933863,1.99068635434857e-05
"16","Gag Grouper",2191.24640308486,441.643596702541,"MSY Curve",0.000653989480843083,3.31798903966232e-05
"17","Goliath grouper",109.847021629516,30.8101059631138,"MSY Curve",4.56238590437628e-05,1.66330547442396e-06
"18","Gray triggerfish",2791.66523633664,1080.11052856408,"MSY Curve",0.00159943657986405,4.22714426069617e-05
"19","King Mackerel",10842.6744768327,1154.80807719487,"MSY Curve",0.00171004932601059,0.000164179961797587
"20","Large coastal sharks",11385.6177898303,416.583241653396,"MSY Curve",0.000616879900378878,0.00017240121870027
"21","Menhaden",1345662.61778461,340001.42047632,"MSY Curve",0.503476907903598,0.0203760463022639
"22","Mullet",5482.25176588048,1993.02763759855,"MSY Curve",0.00295129176501314,8.30123497122582e-05
"23","Mutton snapper",1429.31328295142,554.684498926484,"MSY Curve",0.000821381381261063,2.16426861004773e-05
"24","Other snapper",656.045212986401,224.405413167848,"MSY Curve",0.000332301386800961,9.93384780071907e-06
"25","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.10095930040719,0.000177631812994563
"26","Red Grouper",2336.5054276674,1169.28856872213,"MSY Curve",0.00173149215730481,3.53794050235423e-05
"27","Red Snapper",26841.2983440414,5770.27171713249,"MSY Curve",0.00854466595414649,0.000406431397174035
"28","Red drum",9533.09163537309,996.801618197359,"MSY Curve",0.00147607205822913,0.000144350236083603
"29","Reef piscivores",10878.4767937793,360.103261846787,"MSY Curve",0.000533243880412692,0.000164722081091228
"30","Sandbar shark",839.496740206211,129.691467143536,"MSY Curve",0.000192048194291166,1.27116739537602e-05
"31","Seagrass",564401.234003148,26274.9080545535,"MSY Curve",0.038908100572713,0.00854617310840971
"32","Skates-rays",15928.2772755484,1016.76773151454,"MSY Curve",0.00150563804351738,0.000241186246086106
"33","Small coastal sharks",343.100531733764,51.0986232213228,"MSY Curve",7.5667262747199e-05,5.19523410143326e-06
"34","Spanish Mackerel",87.628529376717,26.6753364138513,"MSY Curve",3.95010581900481e-05,1.32687268590312e-06
"35","Surface pelagics",1323.58196147131,9.74977180401897,"MSY Curve",1.44375425072527e-05,2.00417006278892e-05
"36","Tilefish",112.55178668787,40.9814526498222,"MSY Curve",6.06856731146136e-05,1.70426107305424e-06
"37","Vermilion snapper",9460.01843339101,5708.72025295304,"MSY Curve",0.00845352003828944,0.00014324376041328
"38","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.0660427446769018,0.000349224889336152
"39","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.000360757397694599,2.22791371373307e-05
"40","Algae",12920223.4,0,"Average",0,0.195638243014738
"41","Anchovy-silverside-killifish",10841.0007,0.0288332655055556,"Average",4.26965373884714e-08,0.000164154617440248
"42","Cephalopod",1589692.71,347.540474722222,"Average",0.000514640801615945,0.0240711541193427
"43","Detritus",22309779.3,0,"Average",0,0.337815058546014
"44","Infauna",7615190.3,0,"Average",0,0.11530934136285
"45","Inshore coastal piscivores",2163.06437,483.1547625,"Average",0.000715459557555994,3.2753157571144e-05
"46","Mobile epifauna",1427495.13,7898.45546944444,"Average",0.0116960980086468,0.0216151555974872
"47","Phytoplankton",10393066.2,0,"Average",0,0.157371985603891
"48","Reef invertebrate feeders",434.60357,78.6954641944444,"Average",0.000116532892489538,6.58077466700249e-06
"49","Reef omnivores",987.09208,5.77280648055556,"Average",8.54841945273106e-06,1.49465651054426e-05
"50","Sardine-herring-scad",43470.804,72.4088837777778,"Average",0.000107223672354409,0.000658235655352372
"51","Sea trout",23757.315,11373.621775,"Average",0.0168421529384194,0.000359733668796136
"52","Sessile epifauna",1496144.32,3739.99792777778,"Average",0.00553821978039226,0.0226546428029472
"53","Shallow-water grouper",3668.2269,775.44113,"Average",0.00114827962144018,5.55443542636731e-05
"54","Zooplankton",5343931.9,0,"Average",0,0.0809179079447195
